종목코드,종목명,시가총액
3070,코오롱글로벌,2.27E+11
860,강남제비스코,2.26E+11
5010,휴스틸,2.25E+11
540,흥국화재,2.25E+11
6805,미래에셋증권우,2.23E+11
140,하이트진로홀딩스,2.22E+11
117580,대성에너지,2.21E+11
480,CR홀딩스,2.20E+11
404990,신한서부티엔디리츠,2.20E+11
1780,알루코,2.20E+11
7460,에이프로젠,2.19E+11
84680,이월드,2.19E+11
3610,방림,2.17E+11
271980,제일약품,2.17E+11
134380,미원화학,2.17E+11
487570,HS효성,2.16E+11
30210,다올투자증권,2.15E+11
11785,금호석유화학우,2.14E+11
5430,한국공항,2.14E+11
3350,한국화장품제조,2.13E+11
339770,교촌에프앤비,2.12E+11
4430,송원산업,2.11E+11
3555,LG우,2.10E+11
298690,에어부산,2.10E+11
1045,CJ우,2.10E+11
3650,미창석유,2.09E+11
10100,한국무브넥스,2.09E+11
95570,AJ네트웍스,2.07E+11
102260,동성케미컬,2.07E+11
39570,HDC랩스,2.07E+11
2150,도화엔지니어링,2.07E+11
4380,삼익THK,2.06E+11
5680,삼영전자,2.06E+11
520,삼일제약,2.03E+11
3547,대신증권2우B,2.03E+11
234080,JW생명과학,2.03E+11
214420,토니모리,2.02E+11
1520,동양,2.02E+11
44450,KSS해운,2.02E+11
102460,이연제약,2.02E+11
25000,KPX케미칼,2.01E+11
53690,한미글로벌,2.01E+11
12610,경인양행,2.00E+11
25620,차AI헬스케어,2.00E+11
10955,S-Oil우,2.00E+11
16580,환인제약,1.99E+11
9470,삼화전기,1.95E+11
8970,KBI동양철관,1.95E+11
25820,이구산업,1.94E+11
101530,해태제과식품,1.94E+11
1250,GS글로벌,1.94E+11
213500,한솔제지,1.91E+11
9070,KCTC,1.90E+11
1080,만호제강,1.89E+11
4560,현대비앤지스틸,1.88E+11
3720,삼영,1.88E+11
400760,NH올원리츠,1.86E+11
272550,삼양패키징,1.86E+11
293480,하나제약,1.85E+11
31440,신세계푸드,1.85E+11
390,삼화페인트,1.84E+11
97955,CJ제일제당 우,1.84E+11
6060,화승인더,1.83E+11
16880,웅진,1.80E+11
37560,LG헬로비전,1.80E+11
13580,계룡건설,1.80E+11
4710,한솔테크닉스,1.79E+11
15230,대창단조,1.78E+11
4090,한국석유,1.78E+11
14280,금강공업,1.77E+11
2100,경농,1.76E+11
300,DH오토넥스,1.74E+11
84670,동양고속,1.74E+11
20,동화약품,1.70E+11
71840,롯데하이마트,1.70E+11
123690,한국화장품,1.68E+11
81000,일진다이아,1.67E+11
90350,노루페인트,1.65E+11
100250,진양홀딩스,1.64E+11
2170,삼양통상,1.64E+11
9270,신원,1.62E+11
16450,한세예스24홀딩스,1.62E+11
18470,조일알미늄,1.62E+11
462520,조선내화,1.61E+11
19440,세아특수강,1.61E+11
8350,남선알미늄,1.61E+11
11690,와이투솔루션,1.59E+11
317400,자이에스앤디,1.58E+11
8110,대동전자,1.58E+11
70960,모나용평,1.56E+11
700,유수홀딩스,1.56E+11
460850,동국씨엠,1.55E+11
14710,사조씨푸드,1.54E+11
107590,미원홀딩스,1.54E+11
8040,사조동아원,1.53E+11
3460,유화증권,1.53E+11
2990,금호건설,1.52E+11
11000,진원생명과학,1.52E+11
1360,삼성제약,1.52E+11
970,한국주철관,1.51E+11
00279K,아모레퍼시픽홀딩스3우C,1.50E+11
11280,태림포장,1.50E+11
230,일동홀딩스,1.49E+11
9580,무림P&P,1.49E+11
27970,한국제지,1.48E+11
2390,한독,1.48E+11
210540,디와이파워,1.48E+11
298000,효성화학,1.48E+11
3830,대한화섬,1.47E+11
78000,텔코웨어,1.46E+11
350520,이지스레지던스리츠,1.44E+11
19680,대교,1.44E+11
4970,신라교역,1.44E+11
94280,효성ITX,1.44E+11
92220,KEC,1.42E+11
83420,그린케미칼,1.42E+11
89470,HDC현대EP,1.41E+11
19180,티에이치엔,1.40E+11
214390,경보제약,1.39E+11
15890,태경산업,1.39E+11
3480,한진중공업홀딩스,1.38E+11
7540,샘표,1.38E+11
79430,현대리바트,1.37E+11
13570,디와이,1.36E+11
95720,웅진씽크빅,1.36E+11
35000,HS애드,1.35E+11
5800,신영와코루,1.35E+11
16710,대성홀딩스,1.34E+11
24090,디씨엠,1.34E+11
77500,유니퀘스트,1.33E+11
248170,샘표식품,1.33E+11
4250,NPC,1.32E+11
63160,종근당바이오,1.31E+11
4080,신흥,1.29E+11
36420,콘텐트리중앙,1.29E+11
2620,제일파마홀딩스,1.28E+11
363280,티와이홀딩스,1.28E+11
12800,대창,1.27E+11
12320,경동인베스트,1.26E+11
23810,인팩,1.26E+11
4150,한솔홀딩스,1.25E+11
5960,동부건설,1.24E+11
69460,대호에이엘,1.24E+11
120030,조선선재,1.24E+11
267290,경동도시가스,1.24E+11
14580,태경비케이,1.24E+11
101140,인바이오젠,1.24E+11
267850,아시아나IDT,1.23E+11
2200,한국수출포장,1.22E+11
21820,세원정공,1.22E+11
15590,DKME,1.22E+11
7110,일신석재,1.22E+11
2460,HS화성,1.21E+11
3580,HLB글로벌,1.20E+11
03473K,SK우,1.20E+11
2220,한일철강,1.19E+11
4140,동방,1.19E+11
20120,키다리스튜디오,1.19E+11
67830,세이브존I&C,1.19E+11
58850,KTcs,1.18E+11
14530,극동유화,1.18E+11
139990,아주스틸,1.17E+11
44820,코스맥스비티아이,1.17E+11
5870,휴니드,1.16E+11
13520,화승코퍼레이션,1.16E+11
214330,금호에이치티,1.16E+11
105,유한양행우,1.15E+11
23450,동남합성,1.15E+11
16740,두올,1.13E+11
17370,우신시스템,1.13E+11
23800,인지컨트롤스,1.13E+11
14160,대영포장,1.12E+11
7210,벽산,1.12E+11
34590,인천도시가스,1.11E+11
4960,한신공영,1.11E+11
6660,삼성공조,1.10E+11
11330,유니켐,1.10E+11
11700,한신기계,1.10E+11
11810,STX,1.09E+11
8700,아남전자,1.09E+11
1020,페이퍼코리아,1.08E+11
13360,일성건설,1.08E+11
227840,현대코퍼레이션홀딩스,1.08E+11
17550,수산세보틱스,1.07E+11
68290,삼성출판사,1.07E+11
17900,광전자,1.06E+11
264900,크라운제과,1.06E+11
2780,진흥기업,1.04E+11
396690,미래에셋글로벌리츠,1.04E+11
2450,삼익악기,1.03E+11
6840,AK홀딩스,1.03E+11
11150,CJ씨푸드,1.01E+11
14790,HL D&I,1.01E+11
10660,화천기계,1.01E+11
119650,KC코트렐,1.01E+11
33626K,두산퓨얼셀1우,98895080000
92780,DYP,98631765400
4840,DRB동일,97995810000
32560,황금에스티,97920000000
180,성창기업지주,97582488400
3060,에이프로젠바이오로직스,97418251895
7980,TP,97079221610
8260,NI스틸,96954396630
6490,인스코비,96680537856
2600,조흥,96420000000
5740,크라운해태홀딩스,95765388150
2720,국제약품,95430842320
23000,삼원강재,94800000000
163560,동일고무벨트,94798000000
58860,KTis,93965400000
1560,제일연마,93394000000
85310,엔케이,93078779960
2700,신일전자,93001204989
14440,영보화학,92900000000
4720,팜젠사이언스,92318680910
4890,동일산업,91551866250
10960,삼호개발,90811800000
36580,팜스코,90534379495
96775,SK이노베이션우,89886672000
480370,씨케이솔루션,89009768540
78935,GS우,88973576100
850,화천기공,88000000000
590,CS홀딩스,86239805400
6890,태경케미컬,85608000000
7280,한국특강,85321075333
13870,지엠비코리아,85253091600
79980,휴비스,85215000000
1275,부국증권우,84300000000
10040,한국내화,83571471170
4100,태양금속,83125500000
11390,부산산업,82684800000
111380,동인기연,82115200000
3780,진양산업,82030000000
338100,NH프라임리츠,81637500000
6090,사조오양,80941328010
1260,남광토건,80823741840
372910,한컴라이프케어,80809265520
6880,신송홀딩스,79726502920
1470,삼부토건,79699592928
7590,동방아그로,79390473910
9200,무림페이퍼,79140907620
220,유유제약,78178491090
9180,한솔로지스틱스,77991635250
9770,삼정펄프,77374102450
5750,대림바스,77109110000
2795,아모레퍼시픽홀딩스우,76100923700
4440,삼일씨엔에스,76009723590
12690,모나리자,74605360200
18500,동원금속,74340343470
24900,디와이덕양,73434029900
4830,덕성,72755200000
308170,씨티알모빌리티,72324000000
16090,대현,72268729920
111110,호전실업,72195200000
133820,화인베스틸,71965019378
31820,아이티센씨티에스,71904570804
13700,까뮤이앤씨,71461992680
129260,인터지스,70948679490
55490,테이팩스,70209248000
910,유니온,69940053120
1210,금호전기,69802232598
71090,하이스틸,69559617595
120115,코오롱인더우,69473286000
725,현대건설우,69398799400
1290,상상인증권,69119082560
4540,깨끗한나라,68820800664
92440,기신정기,68328000000
37550L,DL이앤씨2우(전환),68110419750
3010,혜인,67250431630
1380,SG글로벌,67131465499
3925,남양유업우,66400000000
2630,오리엔트바이오,66169316790
378850,화승알앤에이,65717935580
2760,보락,65410800000
4060,SG세계물산,65180837120
357250,미래에셋맵스리츠,64987273000
100220,비상교육,64723770180
47400,유니온머티리얼,64260000000
17040,광명전기,63966319740
17180,명문제약,62847843354
58730,다스코,62144615890
75180,새론오토모티브,62016000000
4910,조광페인트,61760000000
4450,삼화왕관,61399801500
5305,롯데칠성우,61171959000
